all_sig_categories	Freq
OVULATION%GOBP%GO:0030728	3
OXIDOREDUCTASE COMPLEX%GOCC%GO:1990204	3
OXYGEN-DEPENDENT PROLINE HYDROXYLATION OF HYPOXIA-INDUCIBLE FACTOR ALPHA%REACTOME DATABASE ID RELEASE 63%1234176	3
P-P-BOND-HYDROLYSIS-DRIVEN TRANSMEMBRANE TRANSPORTER ACTIVITY%GOMF%GO:0015405	3
P53-DEPENDENT G1 DNA DAMAGE RESPONSE%REACTOME%R-HSA-69563.3	3
P53-DEPENDENT G1 S DNA DAMAGE CHECKPOINT%REACTOME DATABASE ID RELEASE 63%69580	3
P53-INDEPENDENT DNA DAMAGE RESPONSE%REACTOME%R-HSA-69610.3	3
P53-INDEPENDENT G1 S DNA DAMAGE CHECKPOINT%REACTOME%R-HSA-69613.2	3
PANCREATIC A CELL DIFFERENTIATION%GOBP%GO:0003310	3
PCP CE PATHWAY%REACTOME%R-HSA-4086400.2	3
PECAM1 INTERACTIONS%REACTOME DATABASE ID RELEASE 63%210990	3
PEPTIDASE ACTIVATOR ACTIVITY%GOMF%GO:0016504	3
PEPTIDE CATABOLIC PROCESS%GOBP%GO:0043171	3
PEPTIDYL-LYSINE METHYLATION%GOBP%GO:0018022	3
PEPTIDYL-PROLINE 4-DIOXYGENASE ACTIVITY%GOMF%GO:0031545	3
PEPTIDYL-PROLINE DIOXYGENASE ACTIVITY%GOMF%GO:0031543	3
PEPTIDYL-PROLINE HYDROXYLATION TO 4-HYDROXY-L-PROLINE%GOBP%GO:0018401	3
PEPTIDYL-PROLINE HYDROXYLATION%GOBP%GO:0019511	3
PEPTIDYL-PROLINE MODIFICATION%GOBP%GO:0018208	3
PEPTIDYL-THREONINE PHOSPHORYLATION%GOBP%GO:0018107	3
PEPTIDYL-TYROSINE DEPHOSPHORYLATION%GOBP%GO:0035335	3
PEROXISOME%GOCC%GO:0005777	3
PHASE 0 - RAPID DEPOLARISATION%REACTOME DATABASE ID RELEASE 63%5576892	3
PHOSPHATASE ACTIVITY%GOMF%GO:0016791	3
PHOSPHATIDYLCHOLINE-STEROL O-ACYLTRANSFERASE ACTIVATOR ACTIVITY%GOMF%GO:0060228	3
PHOSPHATIDYLCHOLINE METABOLIC PROCESS%GOBP%GO:0046470	3
PHOSPHOLIPASE BINDING%GOMF%GO:0043274	3
PHOSPHOLIPID TRANSPORT%GOBP%GO:0015914	3
PHOSPHOPROTEIN PHOSPHATASE ACTIVITY%GOMF%GO:0004721	3
PHOSPHORYLATION OF THE APC C%REACTOME%R-HSA-176412.2	3
PHOSPHOTYROSINE RESIDUE BINDING%GOMF%GO:0001784	3
PID_AJDISS_2PATHWAY%MSIGDB_C2%PID_AJDISS_2PATHWAY	3
PID_ATR_PATHWAY%MSIGDB_C2%PID_ATR_PATHWAY	3
PID_EPHRINB_REV_PATHWAY%MSIGDB_C2%PID_EPHRINB_REV_PATHWAY	3
PID_ERBB_NETWORK_PATHWAY%MSIGDB_C2%PID_ERBB_NETWORK_PATHWAY	3
PID_HEDGEHOG_2PATHWAY%MSIGDB_C2%PID_HEDGEHOG_2PATHWAY	3
PID_HIF2PATHWAY%MSIGDB_C2%PID_HIF2PATHWAY	3
PID_IFNG_PATHWAY%MSIGDB_C2%PID_IFNG_PATHWAY	3
PID_KIT_PATHWAY%MSIGDB_C2%PID_KIT_PATHWAY	3
PID_LYMPH_ANGIOGENESIS_PATHWAY%MSIGDB_C2%PID_LYMPH_ANGIOGENESIS_PATHWAY	3
PID_NETRIN_PATHWAY%MSIGDB_C2%PID_NETRIN_PATHWAY	3
PID_PDGFRA_PATHWAY%MSIGDB_C2%PID_PDGFRA_PATHWAY	3
PID_PI3K_PLC_TRK_PATHWAY%MSIGDB_C2%PID_PI3K_PLC_TRK_PATHWAY	3
PID_PI3KCI_AKT_PATHWAY%MSIGDB_C2%PID_PI3KCI_AKT_PATHWAY	3
PID_RB_1PATHWAY%MSIGDB_C2%PID_RB_1PATHWAY	3
PID_S1P_S1P1_PATHWAY%MSIGDB_C2%PID_S1P_S1P1_PATHWAY	3
PIGMENT CELL DIFFERENTIATION%GOBP%GO:0050931	3
PKMTS METHYLATE HISTONE LYSINES%REACTOME DATABASE ID RELEASE 63%3214841	3
PLASMA LIPOPROTEIN CLEARANCE%REACTOME%R-HSA-8964043.1	3
PLATELET FORMATION%GOBP%GO:0030220	3
PLATELET MORPHOGENESIS%GOBP%GO:0036344	3
PODOSOME%GOCC%GO:0002102	3
POLO-LIKE KINASE MEDIATED EVENTS%REACTOME DATABASE ID RELEASE 63%156711	3
POSITIVE CHEMOTAXIS%GOBP%GO:0050918	3
POSITIVE REGULATION OF ACTIN FILAMENT BUNDLE ASSEMBLY%GOBP%GO:0032233	3
POSITIVE REGULATION OF ACTIVATED T CELL PROLIFERATION%GOBP%GO:0042104	3
POSITIVE REGULATION OF ANTIGEN RECEPTOR-MEDIATED SIGNALING PATHWAY%GOBP%GO:0050857	3
POSITIVE REGULATION OF B CELL DIFFERENTIATION%GOBP%GO:0045579	3
POSITIVE REGULATION OF BEHAVIOR%GOBP%GO:0048520	3
POSITIVE REGULATION OF BLOOD PRESSURE%GOBP%GO:0045777	3
POSITIVE REGULATION OF BMP SIGNALING PATHWAY%GOBP%GO:0030513	3
POSITIVE REGULATION OF CATECHOLAMINE SECRETION%GOBP%GO:0033605	3
POSITIVE REGULATION OF CHROMATIN ORGANIZATION%GOBP%GO:1905269	3
POSITIVE REGULATION OF CIRCADIAN RHYTHM%GOBP%GO:0042753	3
POSITIVE REGULATION OF COLLAGEN BIOSYNTHETIC PROCESS%GOBP%GO:0032967	3
POSITIVE REGULATION OF COLLAGEN METABOLIC PROCESS%GOBP%GO:0010714	3
POSITIVE REGULATION OF CYCLASE ACTIVITY%GOBP%GO:0031281	3
POSITIVE REGULATION OF ENDOTHELIAL CELL APOPTOTIC PROCESS%GOBP%GO:2000353	3
POSITIVE REGULATION OF EXTRINSIC APOPTOTIC SIGNALING PATHWAY VIA DEATH DOMAIN RECEPTORS%GOBP%GO:1902043	3
POSITIVE REGULATION OF GLOMERULUS DEVELOPMENT%GOBP%GO:0090193	3
POSITIVE REGULATION OF HEART CONTRACTION%GOBP%GO:0045823	3
POSITIVE REGULATION OF HORMONE BIOSYNTHETIC PROCESS%GOBP%GO:0046886	3
POSITIVE REGULATION OF INSULIN SECRETION%GOBP%GO:0032024	3
POSITIVE REGULATION OF INTERFERON-BETA PRODUCTION%GOBP%GO:0032728	3
POSITIVE REGULATION OF INTERFERON-GAMMA-MEDIATED SIGNALING PATHWAY%GOBP%GO:0060335	3
POSITIVE REGULATION OF JUN KINASE ACTIVITY%GOBP%GO:0043507	3
POSITIVE REGULATION OF LONG-TERM SYNAPTIC POTENTIATION%GOBP%GO:1900273	3
POSITIVE REGULATION OF LYASE ACTIVITY%GOBP%GO:0051349	3
POSITIVE REGULATION OF METANEPHROS DEVELOPMENT%GOBP%GO:0072216	3
POSITIVE REGULATION OF MONONUCLEAR CELL MIGRATION%GOBP%GO:0071677	3
POSITIVE REGULATION OF MULTICELLULAR ORGANISMAL METABOLIC PROCESS%GOBP%GO:0044253	3
POSITIVE REGULATION OF MYOTUBE DIFFERENTIATION%GOBP%GO:0010831	3
POSITIVE REGULATION OF NATURAL KILLER CELL MEDIATED CYTOTOXICITY%GOBP%GO:0045954	3
POSITIVE REGULATION OF NATURAL KILLER CELL MEDIATED IMMUNITY%GOBP%GO:0002717	3
POSITIVE REGULATION OF NEURON APOPTOTIC PROCESS%GOBP%GO:0043525	3
POSITIVE REGULATION OF OXIDOREDUCTASE ACTIVITY%GOBP%GO:0051353	3
POSITIVE REGULATION OF PATHWAY-RESTRICTED SMAD PROTEIN PHOSPHORYLATION%GOBP%GO:0010862	3
POSITIVE REGULATION OF PHOSPHATASE ACTIVITY%GOBP%GO:0010922	3
POSITIVE REGULATION OF RECEPTOR ACTIVITY%GOBP%GO:2000273	3
POSITIVE REGULATION OF RESPONSE TO INTERFERON-GAMMA%GOBP%GO:0060332	3
POSITIVE REGULATION OF SKELETAL MUSCLE TISSUE DEVELOPMENT%GOBP%GO:0048643	3
POSITIVE REGULATION OF SMOOTHENED SIGNALING PATHWAY%GOBP%GO:0045880	3
POSITIVE REGULATION OF STEM CELL PROLIFERATION%GOBP%GO:2000648	3
POSITIVE REGULATION OF STRIATED MUSCLE CONTRACTION%GOBP%GO:0045989	3
POSITIVE REGULATION OF T CELL APOPTOTIC PROCESS%GOBP%GO:0070234	3
POSITIVE REGULATION OF TRANSCRIPTION FACTOR IMPORT INTO NUCLEUS%GOBP%GO:0042993	3
POSITIVE REGULATION OF TRANSCRIPTION FROM RNA POLYMERASE II PROMOTER IN RESPONSE TO ENDOPLASMIC RETICULUM STRESS%GOBP%GO:1990440	3
POSITIVE REGULATION OF TRANSLATION%GOBP%GO:0045727	3
POSITIVE REGULATION OF TUMOR NECROSIS FACTOR BIOSYNTHETIC PROCESS%GOBP%GO:0042535	3
POSITIVE REGULATION OF TYPE I HYPERSENSITIVITY%GOBP%GO:0001812	3
POSITIVE REGULATION OF TYPE I INTERFERON-MEDIATED SIGNALING PATHWAY%GOBP%GO:0060340	3
POSITIVE REGULATION OF VASCULAR ENDOTHELIAL GROWTH FACTOR RECEPTOR SIGNALING PATHWAY%GOBP%GO:0030949	3
POSITIVE REGULATION OF VASOCONSTRICTION%GOBP%GO:0045907	3
POSTSYNAPTIC DENSITY MEMBRANE%GOCC%GO:0098839	3
POSTTRANSLATIONAL REGULATION OF ADHERENS JUNCTION STABILITY AND DISSASSEMBLY%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%POSTTRANSLATIONAL REGULATION OF ADHERENS JUNCTION STABILITY AND DISSASSEMBLY	3
PRE-NOTCH EXPRESSION AND PROCESSING%REACTOME DATABASE ID RELEASE 63%1912422	3
PRE-NOTCH TRANSCRIPTION AND TRANSLATION%REACTOME DATABASE ID RELEASE 63%1912408	3
PRESYNAPTIC ACTIVE ZONE%GOCC%GO:0048786	3
PRIMARY ACTIVE TRANSMEMBRANE TRANSPORTER ACTIVITY%GOMF%GO:0015399	3
PROSTAGLANDIN METABOLIC PROCESS%GOBP%GO:0006693	3
PROSTANOID METABOLIC PROCESS%GOBP%GO:0006692	3
PROTEASOMAL PROTEIN CATABOLIC PROCESS%GOBP%GO:0010498	3
PROTEIN ACETYLATION%GOBP%GO:0006473	3
PROTEIN ACYLATION%GOBP%GO:0043543	3
PROTEIN FOLDING%GOBP%GO:0006457	3
PROTEIN FOLDING%REACTOME%R-HSA-391251.1	3
PROTEIN KINASE ACTIVATOR ACTIVITY%GOMF%GO:0030295	3
PROTEIN LOCALIZATION TO KINETOCHORE%GOBP%GO:0034501	3
PROTEIN LOCALIZATION TO SYNAPSE%GOBP%GO:0035418	3
PROTEIN PHOSPHORYLATED AMINO ACID BINDING%GOMF%GO:0045309	3
PROTEIN SECRETION%GOBP%GO:0009306	3
PROTEIN STABILIZATION%GOBP%GO:0050821	3
PROTEIN TYROSINE KINASE BINDING%GOMF%GO:1990782	3
RAS PATHWAY%PANTHER PATHWAY%P04393	3
RAS PROTEIN SIGNAL TRANSDUCTION%GOBP%GO:0007265	3
REGULATED EXOCYTOSIS%GOBP%GO:0045055	3
REGULATION OF ACTIN DYNAMICS FOR PHAGOCYTIC CUP FORMATION%REACTOME DATABASE ID RELEASE 63%2029482	3
REGULATION OF ACTIVATED PAK-2P34 BY PROTEASOME MEDIATED DEGRADATION%REACTOME DATABASE ID RELEASE 63%211733	3
REGULATION OF ANION TRANSMEMBRANE TRANSPORT%GOBP%GO:1903959	3
REGULATION OF APOPTOSIS%REACTOME DATABASE ID RELEASE 63%169911	3
REGULATION OF B CELL RECEPTOR SIGNALING PATHWAY%GOBP%GO:0050855	3
REGULATION OF BETA-CELL DEVELOPMENT%REACTOME%R-HSA-186712.1	3
REGULATION OF CELL CYCLE G2/M PHASE TRANSITION%GOBP%GO:1902749	3
REGULATION OF CELL FATE SPECIFICATION%GOBP%GO:0042659	3
REGULATION OF CELLULAR EXTRAVASATION%GOBP%GO:0002691	3
REGULATION OF CIRCADIAN SLEEP/WAKE CYCLE%GOBP%GO:0042749	3
REGULATION OF CIRCADIAN SLEEP/WAKE CYCLE, SLEEP%GOBP%GO:0045187	3
REGULATION OF CORTICOSTEROID HORMONE SECRETION%GOBP%GO:2000846	3
REGULATION OF CYCLIN-DEPENDENT PROTEIN KINASE ACTIVITY%GOBP%GO:1904029	3
REGULATION OF CYCLIN-DEPENDENT PROTEIN SERINE/THREONINE KINASE ACTIVITY%GOBP%GO:0000079	3
REGULATION OF DNA METHYLATION%GOBP%GO:0044030	3
REGULATION OF FATTY ACID OXIDATION%GOBP%GO:0046320	3
REGULATION OF FATTY ACID TRANSPORT%GOBP%GO:2000191	3
REGULATION OF FEMALE RECEPTIVITY%GOBP%GO:0045924	3
REGULATION OF FIBROBLAST MIGRATION%GOBP%GO:0010762	3
REGULATION OF FZD BY UBIQUITINATION%REACTOME DATABASE ID RELEASE 63%4641263	3
REGULATION OF G2/M TRANSITION OF MITOTIC CELL CYCLE%GOBP%GO:0010389	3
REGULATION OF GENE SILENCING%GOBP%GO:0060968	3
REGULATION OF GLOMERULAR MESANGIAL CELL PROLIFERATION%GOBP%GO:0072124	3
REGULATION OF GLYCOLYTIC PROCESS%GOBP%GO:0006110	3
REGULATION OF INTERLEUKIN-12 PRODUCTION%GOBP%GO:0032655	3
REGULATION OF INTRACELLULAR STEROID HORMONE RECEPTOR SIGNALING PATHWAY%GOBP%GO:0033143	3
REGULATION OF JAK-STAT CASCADE%GOBP%GO:0046425	3
REGULATION OF KILLING OF CELLS OF OTHER ORGANISM%GOBP%GO:0051709	3
REGULATION OF LIPID CATABOLIC PROCESS%GOBP%GO:0050994	3
REGULATION OF LIPOPOLYSACCHARIDE-MEDIATED SIGNALING PATHWAY%GOBP%GO:0031664	3
REGULATION OF LIPOPROTEIN LIPASE ACTIVITY%GOBP%GO:0051004	3
REGULATION OF LONG-TERM SYNAPTIC POTENTIATION%GOBP%GO:1900271	3
REGULATION OF LYMPHOCYTE CHEMOTAXIS%GOBP%GO:1901623	3
REGULATION OF MAST CELL ACTIVATION INVOLVED IN IMMUNE RESPONSE%GOBP%GO:0033006	3
REGULATION OF MAST CELL DEGRANULATION%GOBP%GO:0043304	3
REGULATION OF MICROTUBULE POLYMERIZATION OR DEPOLYMERIZATION%GOBP%GO:0031110	3
REGULATION OF MONOOXYGENASE ACTIVITY%GOBP%GO:0032768	3
REGULATION OF MRNA STABILITY BY PROTEINS THAT BIND AU-RICH ELEMENTS%REACTOME%R-HSA-450531.4	3
REGULATION OF MYOBLAST PROLIFERATION%GOBP%GO:2000291	3
REGULATION OF NATURAL KILLER CELL MEDIATED CYTOTOXICITY%GOBP%GO:0042269	3
REGULATION OF NEURON MIGRATION%GOBP%GO:2001222	3
REGULATION OF NEURONAL SYNAPTIC PLASTICITY%GOBP%GO:0048168	3
REGULATION OF NIK/NF-KAPPAB SIGNALING%GOBP%GO:1901222	3
REGULATION OF NITRIC-OXIDE SYNTHASE ACTIVITY%GOBP%GO:0050999	3
REGULATION OF NITRIC-OXIDE SYNTHASE BIOSYNTHETIC PROCESS%GOBP%GO:0051769	3
REGULATION OF ODONTOGENESIS%GOBP%GO:0042481	3
REGULATION OF OXIDATIVE STRESS-INDUCED CELL DEATH%GOBP%GO:1903201	3
REGULATION OF P38MAPK CASCADE%GOBP%GO:1900744	3
REGULATION OF PEPTIDYL-SERINE PHOSPHORYLATION%GOBP%GO:0033135	3
REGULATION OF PHOSPHATASE ACTIVITY%GOBP%GO:0010921	3
REGULATION OF PLK1 ACTIVITY AT G2 M TRANSITION%REACTOME DATABASE ID RELEASE 63%2565942	3
REGULATION OF PRI-MIRNA TRANSCRIPTION FROM RNA POLYMERASE II PROMOTER%GOBP%GO:1902893	3
REGULATION OF PROTEASOMAL UBIQUITIN-DEPENDENT PROTEIN CATABOLIC PROCESS%GOBP%GO:0032434	3
REGULATION OF PROTEIN KINASE A SIGNALING%GOBP%GO:0010738	3
REGULATION OF PTEN STABILITY AND ACTIVITY%REACTOME DATABASE ID RELEASE 63%8948751	3
REGULATION OF RECEPTOR ACTIVITY%GOBP%GO:0010469	3
REGULATION OF RESPONSE TO REACTIVE OXYGEN SPECIES%GOBP%GO:1901031	3
REGULATION OF RETINOBLASTOMA PROTEIN%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%REGULATION OF RETINOBLASTOMA PROTEIN	3
REGULATION OF RHO PROTEIN SIGNAL TRANSDUCTION%GOBP%GO:0035023	3
REGULATION OF RUNX2 EXPRESSION AND ACTIVITY%REACTOME DATABASE ID RELEASE 63%8939902	3
REGULATION OF RYANODINE-SENSITIVE CALCIUM-RELEASE CHANNEL ACTIVITY%GOBP%GO:0060314	3
REGULATION OF SKELETAL MUSCLE ADAPTATION%GOBP%GO:0014733	3
REGULATION OF STAT CASCADE%GOBP%GO:1904892	3
REGULATION OF STEROID HORMONE SECRETION%GOBP%GO:2000831	3
REGULATION OF STRESS FIBER ASSEMBLY%GOBP%GO:0051492	3
REGULATION OF SUBSTRATE ADHESION-DEPENDENT CELL SPREADING%GOBP%GO:1900024	3
REGULATION OF SUPEROXIDE METABOLIC PROCESS%GOBP%GO:0090322	3
REGULATION OF SYNAPTIC TRANSMISSION, DOPAMINERGIC%GOBP%GO:0032225	3
REGULATION OF SYSTEMIC ARTERIAL BLOOD PRESSURE MEDIATED BY A CHEMICAL SIGNAL%GOBP%GO:0003044	3
REGULATION OF T-HELPER 1 TYPE IMMUNE RESPONSE%GOBP%GO:0002825	3
REGULATION OF T CELL CYTOKINE PRODUCTION%GOBP%GO:0002724	3
REGULATION OF THE FORCE OF HEART CONTRACTION%GOBP%GO:0002026	3
REGULATION OF TOLERANCE INDUCTION%GOBP%GO:0002643	3
REGULATION OF TOLL-LIKE RECEPTOR 4 SIGNALING PATHWAY%GOBP%GO:0034143	3
REGULATION OF TP53 ACTIVITY THROUGH PHOSPHORYLATION%REACTOME%R-HSA-6804756.1	3
REGULATION OF TRANSCRIPTION FROM RNA POLYMERASE II PROMOTER INVOLVED IN HEART DEVELOPMENT%GOBP%GO:1901213	3
REGULATION OF TRANSCRIPTION REGULATORY REGION DNA BINDING%GOBP%GO:2000677	3
REGULATION OF TRANSLATIONAL INITIATION%GOBP%GO:0006446	3
REGULATION OF TRIGLYCERIDE CATABOLIC PROCESS%GOBP%GO:0010896	3
REGULATION OF TYPE I INTERFERON-MEDIATED SIGNALING PATHWAY%GOBP%GO:0060338	3
REGULATION OF VASCULAR SMOOTH MUSCLE CELL PROLIFERATION%GOBP%GO:1904705	3
REPRODUCTIVE BEHAVIOR%GOBP%GO:0019098	3
RESPONSE TO CADMIUM ION%GOBP%GO:0046686	3
RESPONSE TO DEXAMETHASONE%GOBP%GO:0071548	3
RESPONSE TO DSRNA%GOBP%GO:0043331	3
RESPONSE TO EXOGENOUS DSRNA%GOBP%GO:0043330	3
RESPONSE TO GAMMA RADIATION%GOBP%GO:0010332	3
RESPONSE TO HEAT%GOBP%GO:0009408	3
RESPONSE TO KETONE%GOBP%GO:1901654	3
RESPONSE TO LEPTIN%GOBP%GO:0044321	3
RESPONSE TO LIPOPROTEIN PARTICLE%GOBP%GO:0055094	3
RESPONSE TO LIPOTEICHOIC ACID%GOBP%GO:0070391	3
RESPONSE TO NICOTINE%GOBP%GO:0035094	3
RESPONSE TO OSMOTIC STRESS%GOBP%GO:0006970	3
RESPONSE TO VITAMIN%GOBP%GO:0033273	3
RETINA VASCULATURE MORPHOGENESIS IN CAMERA-TYPE EYE%GOBP%GO:0061299	3
RETINOID BINDING%GOMF%GO:0005501	3
RNA POLYMERASE I TRANSCRIPTION%REACTOME DATABASE ID RELEASE 63%73864	3
RNA POLYMERASE II TRANSCRIPTION COFACTOR ACTIVITY%GOMF%GO:0001104	3
RORA ACTIVATES GENE EXPRESSION%REACTOME%R-HSA-1368082.2	3
ROS, RNS PRODUCTION IN PHAGOCYTES%REACTOME%R-HSA-1222556.6	3
ROUGH ENDOPLASMIC RETICULUM%GOCC%GO:0005791	3
SA_MMP_CYTOKINE_CONNECTION%MSIGDB_C2%SA_MMP_CYTOKINE_CONNECTION	3
SARCOPLASMIC RETICULUM CALCIUM ION TRANSPORT%GOBP%GO:0070296	3
SCF(SKP2)-MEDIATED DEGRADATION OF P27 P21%REACTOME DATABASE ID RELEASE 63%187577	3
SEMA3A-PLEXIN REPULSION SIGNALING BY INHIBITING INTEGRIN ADHESION%REACTOME DATABASE ID RELEASE 63%399955	3
SH3/SH2 ADAPTOR ACTIVITY%GOMF%GO:0005070	3
SIGNAL TRANSDUCTION IN ABSENCE OF LIGAND%GOBP%GO:0038034	3
SIGNALING BY NOTCH2%REACTOME DATABASE ID RELEASE 63%1980145	3
SIGNALING BY NOTCH3%REACTOME DATABASE ID RELEASE 63%9012852	3
SIGNALING BY TGF-BETA RECEPTOR COMPLEX%REACTOME DATABASE ID RELEASE 63%170834	3
SIGNALING EVENTS MEDIATED BY STEM CELL FACTOR RECEPTOR (C-KIT)%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%SIGNALING EVENTS MEDIATED BY STEM CELL FACTOR RECEPTOR (C-KIT)	3
SIGNALING EVENTS MEDIATED BY THE HEDGEHOG FAMILY%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%SIGNALING EVENTS MEDIATED BY THE HEDGEHOG FAMILY	3
SISTER CHROMATID COHESION%GOBP%GO:0007062	3
SODIUM-INDEPENDENT ORGANIC ANION TRANSMEMBRANE TRANSPORTER ACTIVITY%GOMF%GO:0015347	3
SODIUM-INDEPENDENT ORGANIC ANION TRANSPORT%GOBP%GO:0043252	3
SOLUTE:SODIUM SYMPORTER ACTIVITY%GOMF%GO:0015370	3
SPECTRIN BINDING%GOMF%GO:0030507	3
SPHINGOLIPID METABOLIC PROCESS%GOBP%GO:0006665	3
SPINDLE POLE CENTROSOME%GOCC%GO:0031616	3
ST_INTEGRIN_SIGNALING_PATHWAY%MSIGDB_C2%ST_INTEGRIN_SIGNALING_PATHWAY	3
STABILIZATION OF P53%REACTOME DATABASE ID RELEASE 63%69541	3
STRUCTURAL CONSTITUENT OF MYELIN SHEATH%GOMF%GO:0019911	3
SULFUR AMINO ACID METABOLIC PROCESS%GOBP%GO:0000096	3
SUMO E3 LIGASES SUMOYLATE TARGET PROTEINS%REACTOME%R-HSA-3108232.3	3
SUMOYLATION OF DNA REPLICATION PROTEINS%REACTOME%R-HSA-4615885.3	3
SUMOYLATION%REACTOME DATABASE ID RELEASE 63%2990846	3
SUPERPATHWAY OF CHOLESTEROL BIOSYNTHESIS%HUMANCYC%PWY66-5	3
SYMPATHETIC NERVOUS SYSTEM DEVELOPMENT%GOBP%GO:0048485	3
SYNAPTIC TRANSMISSION, GLUTAMATERGIC%GOBP%GO:0035249	3
SYNAPTIC VESICLE CYCLE%GOBP%GO:0099504	3
T CELL RECEPTOR COMPLEX%GOCC%GO:0042101	3
TELENCEPHALON REGIONALIZATION%GOBP%GO:0021978	3
THE ROLE OF NEF IN HIV-1 REPLICATION AND DISEASE PATHOGENESIS%REACTOME DATABASE ID RELEASE 63%164952	3
THROMBOXANE A2 RECEPTOR SIGNALING%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%THROMBOXANE A2 RECEPTOR SIGNALING	3
TNFR2 NON-CANONICAL NF-KB PATHWAY%REACTOME DATABASE ID RELEASE 63%5668541	3
TOLL LIKE RECEPTOR 10 (TLR10) CASCADE%REACTOME%R-HSA-168142.1	3
TOLL LIKE RECEPTOR 5 (TLR5) CASCADE%REACTOME DATABASE ID RELEASE 63%168176	3
TOLL LIKE RECEPTOR 9 (TLR9) CASCADE%REACTOME DATABASE ID RELEASE 63%168138	3
TONGUE DEVELOPMENT%GOBP%GO:0043586	3
TRAF3-DEPENDENT IRF ACTIVATION PATHWAY%REACTOME%R-HSA-918233.1	3
TRAF6 MEDIATED NF-KB ACTIVATION%REACTOME DATABASE ID RELEASE 63%933542	3
TRANSFERASE ACTIVITY, TRANSFERRING NITROGENOUS GROUPS%GOMF%GO:0016769	3
TRANSITION METAL ION TRANSPORT%GOBP%GO:0000041	3
TRANSLOCATION OF GLUT4 TO THE PLASMA MEMBRANE%REACTOME DATABASE ID RELEASE 63%1445148	3
TRANSPORT OF BILE SALTS AND ORGANIC ACIDS, METAL IONS AND AMINE COMPOUNDS%REACTOME DATABASE ID RELEASE 63%425366	3
TRIGLYCERIDE BIOSYNTHETIC PROCESS%GOBP%GO:0019432	3
TRIGLYCERIDE HOMEOSTASIS%GOBP%GO:0070328	3
TRK RECEPTOR SIGNALING MEDIATED BY PI3K AND PLC-GAMMA%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%TRK RECEPTOR SIGNALING MEDIATED BY PI3K AND PLC-GAMMA	3
TRNA AMINOACYLATION%REACTOME DATABASE ID RELEASE 63%379724	3
TROPHOBLAST GIANT CELL DIFFERENTIATION%GOBP%GO:0060707	3
TYPE B PANCREATIC CELL DIFFERENTIATION%GOBP%GO:0003309	3
UBIQUITIN-DEPENDENT DEGRADATION OF CYCLIN D%REACTOME%R-HSA-75815.2	3
UBIQUITIN-DEPENDENT DEGRADATION OF CYCLIN D1%REACTOME%R-HSA-69229.2	3
UBIQUITIN MEDIATED DEGRADATION OF PHOSPHORYLATED CDC25A%REACTOME DATABASE ID RELEASE 63%69601	3
UNTITLED%PANTHER PATHWAY%P00019	3
UTERUS DEVELOPMENT%GOBP%GO:0060065	3
VASCULAR ENDOTHELIAL GROWTH FACTOR SIGNALING PATHWAY%GOBP%GO:0038084	3
VEGFR3 SIGNALING IN LYMPHATIC ENDOTHELIUM%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%VEGFR3 SIGNALING IN LYMPHATIC ENDOTHELIUM	3
VENTRAL SPINAL CORD DEVELOPMENT%GOBP%GO:0021517	3
VERY LONG-CHAIN FATTY ACID METABOLIC PROCESS%GOBP%GO:0000038	3
VIF-MEDIATED DEGRADATION OF APOBEC3G%REACTOME DATABASE ID RELEASE 63%180585	3
VITAMINS%REACTOME DATABASE ID RELEASE 63%211916	3
VOCALIZATION BEHAVIOR%GOBP%GO:0071625	3
VOLTAGE-GATED CALCIUM CHANNEL ACTIVITY%GOMF%GO:0005245	3
VOLTAGE-GATED CALCIUM CHANNEL COMPLEX%GOCC%GO:0005891	3
VPU MEDIATED DEGRADATION OF CD4%REACTOME%R-HSA-180534.1	3
WNT LIGAND BIOGENESIS AND TRAFFICKING%REACTOME%R-HSA-3238698.1	3
WOUND HEALING, SPREADING OF CELLS%GOBP%GO:0044319	3
YAP1- AND WWTR1 (TAZ)-STIMULATED GENE EXPRESSION%REACTOME DATABASE ID RELEASE 63%2032785	3
ZYMOGEN ACTIVATION%GOBP%GO:0031638	3
'DE NOVO' POSTTRANSLATIONAL PROTEIN FOLDING%GOBP%GO:0051084	2
3-PHOSPHOINOSITIDE BIOSYNTHESIS%HUMANCYC%PWY-6352	2
5-HYDROXYTRYPTAMINE DEGREDATION%PANTHER PATHWAY%P04372	2
9+2 MOTILE CILIUM%GOCC%GO:0097729	2
A6B1 AND A6B4 INTEGRIN SIGNALING%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%A6B1 AND A6B4 INTEGRIN SIGNALING	2
ABC-FAMILY PROTEINS MEDIATED TRANSPORT%REACTOME%R-HSA-382556.3	2
ACTIN-DEPENDENT ATPASE ACTIVITY%GOMF%GO:0030898	2
ACTIN CROSSLINK FORMATION%GOBP%GO:0051764	2
ACTIN MONOMER BINDING%GOMF%GO:0003785	2
